GEO_ID,GEO_FIPS,NAME,S0601_C01_001E,S0601_C01_001M,S0601_C01_013E,S0601_C01_013M,S0601_C01_014E,S0601_C01_014M,S0601_C01_015E,S0601_C01_015M,S0601_C01_016E,S0601_C01_016M,S0601_C01_017E,S0601_C01_017M,S0601_C01_018E,S0601_C01_018M,S0601_C01_019E,S0601_C01_019M,S0601_C01_020E,S0601_C01_020M,S0601_C01_021E,S0601_C01_021M,S0601_C01_022E,S0601_C01_022M,S0601_C01_052E,S0601_C01_052M
1400000U,06037570503,Census Tract 5705.03; Los Angeles County; California,3752,1095,80,14.9,18.1,10.1,7,4.2,2.5,3.4,9.9,5.4,0,1.1,42.5,14.9,20,14.9,69.9,11.6,9.5,6,14.7,(X)
1400000U,06037570504,Census Tract 5705.04; Los Angeles County; California,3210,542,82,9,19.5,8.4,20.1,11.2,2.7,4.7,10.5,6.2,0,1.3,29.2,13.7,18,9,59.6,9.8,9.5,2.7,16.4,(X)
1400000U,06037570601,Census Tract 5706.01; Los Angeles County; California,5893,975,79.4,11.2,24.9,11,9.6,4.5,0.7,1.8,11.2,3.9,0,0.7,33,8.6,20.6,11.2,68.3,7.6,9.8,4.3,9.7,(X)
1400000U,06037570602,Census Tract 5706.02; Los Angeles County; California,5639,618,89,4.7,13.7,5.3,11.5,5.5,0,0.7,43.9,8.7,0,0.7,19.8,6.9,11,4.7,37.2,8.7,6,2.5,16.5,(X)
1400000U,06037570603,Census Tract 5706.03; Los Angeles County; California,5566,651,92.1,4.2,13.7,6.7,49,8.2,0.9,1.3,2.6,2.3,5.1,3.9,20.8,5,7.9,4.2,29.5,5.9,9.6,4.6,8.3,(X)
1400000U,06037570701,Census Tract 5707.01; Los Angeles County; California,7372,1177,83.5,5.7,27.1,8.3,19.7,9,0.6,0.9,23.5,9.6,0.7,0.7,12,5,16.5,5.7,27.3,4.8,24.3,7.6,9.3,(X)
1400000U,06037570703,Census Tract 5707.03; Los Angeles County; California,2952,248,81.5,6.2,28.3,6.3,11.1,2.7,0,1.4,23.3,4.2,0,1.4,18.8,6,18.5,6.2,38,5.4,22.4,5,11.4,(X)
1400000U,06037570800,Census Tract 5708; Los Angeles County; California,5313,537,80.6,6.3,46.6,7.1,5.6,3.3,0.5,0.7,15.3,4.1,0,0.8,12.7,4.8,19.4,6.3,33.1,6.2,38.8,6.4,10.2,(X)
1400000U,06037570901,Census Tract 5709.01; Los Angeles County; California,5661,722,75.9,9.5,45.5,7.4,1.4,1.5,0.3,0.5,16.3,4.7,1.9,2.9,10.6,5.2,24.1,9.5,37.4,8.3,37.1,6.7,2.7,(X)
1400000U,06037570902,Census Tract 5709.02; Los Angeles County; California,3385,477,84.8,6.2,62.8,8.1,5.5,5.5,0.4,0.6,5.7,3.1,0.6,1.1,9.7,6.2,15.2,6.2,28.5,6.8,53.4,8.5,3.1,(X)
1400000U,06037571000,Census Tract 5710; Los Angeles County; California,5598,519,76.6,6.8,58.5,6.3,1.6,1.8,0,0.8,11.1,4,0.7,0.8,4.7,2.3,23.4,6.8,26.8,4.5,51.5,6.1,8.9,(X)
1400000U,06037571101,Census Tract 5711.01; Los Angeles County; California,5034,655,81.2,5.6,58.8,6.9,2.9,2.2,2.1,2.6,6.2,2.5,1,1,10.3,5.5,18.8,5.6,34,7.3,49.1,7.2,8.7,(X)
1400000U,06037571102,Census Tract 5711.02; Los Angeles County; California,3617,309,82.5,6,47.3,8.7,8.8,4.6,0.2,0.4,14.6,4.8,0,1.2,11.6,3.9,17.5,6,36.5,5.6,38.7,7.2,6.6,(X)
1400000U,06037571201,Census Tract 5712.01; Los Angeles County; California,3819,589,87.2,5.3,64.3,9.2,4.2,3.7,0,1.1,7.5,4.5,0,1.1,11.3,5.6,12.8,5.3,31.2,7.9,51.6,8.9,11.9,(X)
1400000U,06037571202,Census Tract 5712.02; Los Angeles County; California,3903,644,81.6,10.6,45.5,15.6,11.7,10.1,3.8,4,12.7,7.8,2.8,2.6,5.2,4.4,18.4,10.6,28.3,6.6,35.5,9.1,7,(X)
1400000U,06037571300,Census Tract 5713; Los Angeles County; California,4818,492,73.8,7.9,44.2,7.8,9.8,7.7,0.8,1,10.6,4.4,0,0.9,8.4,6.1,26.2,7.9,35.6,6.9,35.5,5.7,15.4,(X)
1400000U,06037571400,Census Tract 5714; Los Angeles County; California,4987,479,82.7,5.1,39.1,9.1,6.6,3.4,0.5,0.6,18.9,4.9,0.2,0.3,17.4,6.7,17.3,5.1,38.1,5.6,27.9,6,11,(X)
1400000U,06037571502,Census Tract 5715.02; Los Angeles County; California,5096,808,83.7,8.4,26.8,6.2,15.3,4.4,2.2,2,24.5,12.7,0,0.8,14.9,5,16.3,8.4,36.5,8.3,20.2,4.8,12.5,(X)
1400000U,06037571504,Census Tract 5715.04; Los Angeles County; California,5045,861,88.1,5.4,37.9,11.6,13.1,3.5,0,0.8,17.9,4.7,0,0.8,19.2,9.2,11.9,5.4,29.9,8.5,34.4,11.8,7.5,(X)
1400000U,06037571505,Census Tract 5715.05; Los Angeles County; California,2889,743,74.5,18.6,27.2,9.4,12.5,9.3,0.1,0.3,17.8,9,0,1.5,16.9,6.6,25.5,18.6,51.2,13.8,18,7.4,5.9,(X)
1400000U,06037571600,Census Tract 5716; Los Angeles County; California,2182,460,90,6.2,12,6.2,60.9,11.1,0,1.9,1.8,1.4,0,1.9,15.3,6.3,10,6.2,29.4,8,3.7,2.3,5.6,(X)
1400000U,06037571701,Census Tract 5717.01; Los Angeles County; California,6239,1518,87.3,6.9,40.5,14.9,10,5.3,0.5,0.8,4.6,3,0,0.7,31.7,10.6,12.7,6.9,72.6,7.8,13.4,6.3,15,(X)
1400000U,06037571703,Census Tract 5717.03; Los Angeles County; California,3430,535,90.7,6.5,21.7,11,15.4,7.4,0.8,2.8,15.5,7.6,0,1.2,37.2,12.4,9.3,6.5,57.3,11,9.1,4.8,5.2,(X)
1400000U,06037571704,Census Tract 5717.04; Los Angeles County; California,3817,659,80.7,11.9,15.7,7.2,18.9,8.4,6.8,5.5,10.7,3.2,0,1.1,28.7,9.8,19.3,11.9,64.1,9.3,5.4,2.9,18.5,(X)
1400000U,06037571800,Census Tract 5718; Los Angeles County; California,3240,543,81.9,7,53.3,6.8,9.7,4.5,0.3,0.6,12.7,4.3,0,1.3,5.9,3.1,18.1,7,23.7,4.5,42.9,6.8,7.3,(X)
1400000U,06037571900,Census Tract 5719; Los Angeles County; California,5971,1087,86.3,5.9,50.2,10.9,13.5,6.3,0,0.7,15.2,5.7,0,0.7,7.3,5.2,13.7,5.9,21.2,6.9,45.1,10.6,25.5,(X)
1400000U,06037572001,Census Tract 5720.01; Los Angeles County; California,6254,960,82.8,6.4,51.1,10.6,15.4,8.2,1,1.4,7.1,2.4,0,0.7,8.2,4.7,17.2,6.4,24.4,5.5,46,9.2,18,(X)
1400000U,06037572201,Census Tract 5722.01; Los Angeles County; California,5629,1102,79.6,11.8,31.6,8.6,15.3,5,1,1.3,19,6.2,0.8,1.1,11.8,6.2,20.4,11.8,36.8,9.8,21.6,4.9,13.8,(X)
1400000U,06037572202,Census Tract 5722.02; Los Angeles County; California,3372,301,78.6,11.4,38.9,11.1,9.3,6.7,1,1.2,21.6,4.7,0,1.3,7.9,5.6,21.4,11.4,44.4,8.6,21,7,6,(X)
